No;pays;ann;GDPPC;FDI;INF;OPEN
84;Egypt, Arab Rep,;2015;2.18436429;2.069383991;10.35748965;34.84594296
85;Iran, Islamic Rep,;1995;0.96327141;0.017631338;49.65598585;35.14424492
86;Iran, Islamic Rep,;1996;4.610725248;0.021593979;28.93734402;35.22129915
87;Iran, Islamic Rep,;1997;-0.471771305;0.046524218;17.34922575;32.64955811
88;Iran, Islamic Rep,;1998;0.178893343;0.021763395;17.86613421;29.22821965
89;Iran, Islamic Rep,;1999;0.180911001;0.030742623;20.07070781;34.88541413
90;Iran, Islamic Rep,;2000;4.134258306;0.176632889;14.47675132;41.25724746
91;Iran, Islamic Rep,;2001;0.920210379;0.321660451;11.27424713;40.53556648
92;Iran, Islamic Rep,;2002;6.668824166;2.736114981;14.33593374;48.17268655
93;Iran, Islamic Rep,;2003;7.329895188;1.874034426;16.46801162;50.67910578
94;Iran, Islamic Rep,;2004;3.13111364;1.653427536;14.7615087;53.08661455
95;Iran, Islamic Rep,;2005;3.017896222;1.314189041;13.43311801;56.05388359
96;Iran, Islamic Rep,;2006;4.508022005;0.896028082;11.9395522;54.68715128
97;Iran, Islamic Rep,;2007;7.899406665;0.597909424;17.21304635;51.51682743
98;Iran, Islamic Rep,;2008;-0.204666927;0.498499503;25.54984461;49.90003521
99;Iran, Islamic Rep,;2009;1.145567093;0.747765824;13.50026182;45.42150439
100;Iran, Islamic Rep,;2010;5.319690772;0.78004462;10.13714717;45.73545036
101;Iran, Islamic Rep,;2011;2.479720011;0.722372573;20.62833206;42.20701976
102;Iran, Islamic Rep,;2012;-7.783801655;0.793879431;27.35738864;43.09286522
103;Iran, Islamic Rep,;2013;-3.155246767;0.596133807;39.26636098;47.26232792
104;Iran, Islamic Rep,;2014;3.044947572;0.495030556;17.23535868;43.06300372
105;Iran, Islamic Rep,;2015;-2.678362319;0.521050352;13.70579975;39.01730192
106;Jordan;1995;2.07740425;0.197817834;2.353124513;124.5854734
107;Jordan;1996;-1.018083224;0.223931945;6.501218027;131.0429364
108;Jordan;1997;0.830222598;4.980975651;3.037884203;120.7312917
109;Jordan;1998;0.994946615;3.918115242;3.091666667;109.0516234
110;Jordan;1999;1.615763387;1.938482198;0.606256568;104.4809297
111;Jordan;2000;2.442890351;10.79447161;0.666880926;110.3336702
112;Jordan;2001;3.437238308;3.048547532;1.772204374;109.2843778
113;Jordan;2002;3.903743385;2.48603227;1.83299389;114.1234407
114;Jordan;2003;2.051763431;5.364709274;1.63;115.7064591
115;Jordan;2004;5.844659973;8.209450192;3.361868215;135.0010836
116;Jordan;2005;4.767948281;15.76406349;3.493685346;147.5390857
117;Jordan;2006;4.0837791;23.53737248;6.251724667;142.3417613
118;Jordan;2007;3.652513453;15.32469173;5.386824032;146.622735
119;Jordan;2008;2.331125123;12.86521013;14.92781501;145.3083305
120;Jordan;2009;0.353701093;10.13045882;-0.678178129;115.5308673
121;Jordan;2010;-2.834867477;6.38929091;5.013941643;117.2858824
122;Jordan;2011;-2.729200595;5.152714171;4.158333333;121.5139027
123;Jordan;2012;-2.713330857;4.89130823;4.520361629;120.5114368
124;Jordan;2013;-2.314911717;5.374908267;4.830067361;114.3058195
125;Jordan;2014;-1.536254581;5.608363492;2.891566265;113.0713817
126;Jordan;2015;-1.520903922;3.397859081;-0.872897594;98.07803298
127;Kuwait;1995;NA;0.024644814;2.686727566;94.31846069
128;Kuwait;1996;-0.695117866;1.102913542;3.553985697;91.47020555
129;Kuwait;1997;-2.519408261;0.065160855;0.682191435;92.4455526
130;Kuwait;1998;-3.170591718;0.227676643;0.129658288;94.9526363
131;Kuwait;1999;-7.846722029;0.239924745;2.990810359;85.37369987
132;Kuwait;2000;-0.087721076;0.043222033;1.812946139;86.62057131
133;Kuwait;2001;-2.069995635;-0.319615405;1.3;86.84235118
134;Kuwait;2002;1.343511841;0.009490495;0.888450148;81.22519327
135;Kuwait;2003;15.95242323;-0.140178221;0.961350294;86.55638887
136;Kuwait;2004;8.814722407;0.039961181;1.248564437;89.29611235
137;Kuwait;2005;6.755042516;0.289492646;4.142975836;92.24346204
138;Kuwait;2006;2.968660685;0.119453288;3.057013392;89.71157109
139;Kuwait;2007;0.65052254;0.097291192;5.484949833;91.73137718
140;Kuwait;2008;-3.274442247;-0.004037938;10.58270979;92.68298839
141;Kuwait;2009;-12.56789523;1.051547476;4.609595484;88.86409869
142;Kuwait;2010;-8.200908123;1.130339826;4.496402878;97.02803281
143;Kuwait;2011;2.99902776;2.115899294;4.905335628;99.11647644
144;Kuwait;2012;0.204573952;1.650249066;3.199343724;101.0114486
145;Kuwait;2013;-4.552396214;0.82316154;2.702702703;97.60650467
146;Kuwait;2014;-4.390517227;0.298715728;2.908900929;100.036729
147;Kuwait;2015;-2.121101267;0.24960067;3.271702481;99.64155617
148;Morocco;1995;-6.847202447;0.236703899;6.123581648;51.71502538
149;Morocco;1996;10.77655682;0.177038264;2.986809228;47.09554345
150;Morocco;1997;-2.871054677;0.00911612;1.038198951;51.15015465
151;Morocco;1998;5.883466216;0.028391805;2.753113308;50.79768215
152;Morocco;1999;-0.157003059;0.006369772;0.684782609;53.98669265
153;Morocco;2000;0.68130758;0.568078587;1.894634568;59.16182679
154;Morocco;2001;6.030229274;0.364520435;0.619801875;59.4180039
155;Morocco;2002;1.888807858;0.18742162;2.795619669;60.5340864
156;Morocco;2003;4.701236227;4.441995032;1.167733675;58.32774268
157;Morocco;2004;3.560604559;1.319983821;1.493444034;61.59653347
158;Morocco;2005;2.082168087;2.598129486;0.98264166;67.91485449
159;Morocco;2006;6.327523823;3.446928384;3.28476167;71.49628678
160;Morocco;2007;2.334515052;3.550855468;2.042085127;78.48717434
161;Morocco;2008;4.676596363;2.666048499;3.707317073;85.6728209
162;Morocco;2009;2.964299665;2.120969595;0.994825964;67.91510295
163;Morocco;2010;2.471154038;1.330904482;0.987355331;75.24763454
164;Morocco;2011;3.804739156;2.487274621;0.92236032;83.42680017
165;Morocco;2012;1.53897028;2.892094421;1.278741213;85.12491729
166;Morocco;2013;3.012707323;3.146163799;1.88750188;80.02055856
167;Morocco;2014;1.068919005;3.208573643;0.435456491;81.17703227
168;Morocco;2015;3.039815123;3.233728717;1.557907113;76.37919291
169;Oman;1995;2.33627319;0.335399754;NA;79.59149064
170;Oman;1996;1.554015563;0.396654921;NA;85.57615375
171;Oman;1997;5.41576943;0.407262501;NA;88.62796617
172;Oman;1998;2.546527064;0.724155466;NA;91.69423094
173;Oman;1999;-0.259587942;0.255249024;NA;86.25039566
174;Oman;2000;4.793825268;0.420353038;NA;79.59363251
175;Oman;2001;3.262422851;0.02674047;-0.816666667;81.03699544
176;Oman;2002;-2.774024093;0.542292347;-0.285666275;77.01842503
177;Oman;2003;-4.748815261;0.115409584;0.18537243;82.55391791
178;Oman;2004;-1.172954647;0.448454041;0.756938604;90.24743741
179;Oman;2005;-0.22428877;4.949376621;1.861435726;89.3398042
180;Oman;2006;2.446198452;4.288759216;3.204130132;87.83675181
181;Oman;2007;1.323501429;7.917536986;5.95521677;96.47258031
182;Oman;2008;4.425000534;4.846678424;12.09082734;95.66104851
183;Oman;2009;1.55103554;3.070630412;3.9351759;85.28215078
184;Oman;2010;-0.658916198;2.119949808;3.203396372;106.863211
185;Oman;2011;-7.088517612;2.398011351;4.070057342;115.7831345
186;Oman;2012;2.156414905;1.779419485;2.910702521;116.3417137
187;Oman;2013;-2.568167639;2.042639802;1.245416982;128.2223698
188;Oman;2014;-3.91611629;1.857645261;1.014014839;116.2539506
189;Oman;2015;-0.356818128;-3.854330809;0.065290133;108.593508
190;Qatar;1995;NA;1.149680658;2.956521739;87.66795203
191;Qatar;1996;NA;3.740559308;4.904534606;83.50922105
192;Qatar;1997;NA;3.702755596;4.834489819;84.44703884
193;Qatar;1998;NA;3.386477192;2.951388889;91.05812556
194;Qatar;1999;NA;0.913812596;2.181703204;85.73296979
195;Qatar;2000;NA;1.416675432;1.650335224;89.61265972
196;Qatar;2001;-0.248235018;1.684982456;1.471334348;94.96867168
197;Qatar;2002;2.405710845;3.222105442;0.24;88.46972363
198;Qatar;2003;-2.746026243;2.655415757;2.264565044;90.16494869
199;Qatar;2004;8.179396627;3.778179583;6.79933665;90.37242884
200;Qatar;2005;-5.682845426;5.614130334;8.814395323;94.74554417
201;Qatar;2006;7.998734326;5.748812108;11.83580962;98.57091931
202;Qatar;2007;0.207865686;5.896219912;13.75816258;96.11410571
203;Qatar;2008;0.750174951;3.278064173;15.05014516;89.43284165
204;Qatar;2009;-2.220324263;8.307641312;-4.863278016;80.14416297
205;Qatar;2010;6.898721541;3.73261156;-2.425256752;86.07028995
206;Qatar;2011;3.363472755;0.559389031;1.916389889;98.7216351
207;Qatar;2012;-3.129369129;0.211888706;1.866585067;105.7462864
208;Qatar;2013;-2.126986546;-0.422882374;3.131571042;102.3831544
209;Qatar;2014;-1.448873664;0.504490727;3.082474313;99.0343139
210;Qatar;2015;-0.91894622;0.650430923;1.883589329;92.056166
211;Tunisia;1995;0.584273833;1.466043368;6.244150287;93.71444657
212;Tunisia;1996;5.501598806;1.2167962;3.725144727;85.72035476
213;Tunisia;1997;4.001434947;1.634444652;3.652026207;80.50071044
214;Tunisia;1998;3.512566338;2.980500468;3.125365797;79.97945826
215;Tunisia;1999;4.902325036;1.524817399;2.690124858;77.90511394
216;Tunisia;2000;3.679354051;3.496082709;2.962307947;82.45592577
217;Tunisia;2001;2.8786425;2.04619204;1.983333333;89.55191911
218;Tunisia;2002;0.514957851;3.414972179;2.721032849;85.34165719
219;Tunisia;2003;3.908670193;1.965104976;2.712592475;82.39010779
220;Tunisia;2004;5.409427181;1.898934921;3.63228005;86.94829371
221;Tunisia;2005;2.617042492;2.208393023;2.017786414;90.25124788
222;Tunisia;2006;4.277501542;9.424247727;4.490513515;93.9378509
223;Tunisia;2007;5.653195785;3.894680644;3.416546647;104.0754722
224;Tunisia;2008;3.143560902;5.797755001;4.920696325;115.3961258
225;Tunisia;2009;1.922135996;3.509946165;3.524813804;94.3691928
226;Tunisia;2010;2.361701531;3.029442784;4.416268965;105.7566074
227;Tunisia;2011;-3.024888542;0.94446648;3.544029353;105.8943562
228;Tunisia;2012;2.801651671;3.450543963;5.138117098;108.0047474
229;Tunisia;2013;1.680275828;2.288650995;5.798544619;104.7959442
230;Tunisia;2014;1.629666626;2.152699489;4.937735303;102.1214858
231;Tunisia;2015;-0.014759945;2.237615595;4.857182282;92.26918352
232;Turkey;1995;6.177176434;0.522167204;88.10770257;44.24263475
233;Turkey;1996;5.686787697;0.397849726;80.34690278;49.36931489
234;Turkey;1997;5.886123466;0.42405325;85.7332416;54.97032357
235;Turkey;1998;0.711622506;0.340865375;84.6413357;40.27434754
236;Turkey;1999;-4.874800516;0.305997671;64.8674792;37.40161898
237;Turkey;2000;5.033389493;0.359734117;54.91538241;42.00059748
238;Turkey;2001;-7.35600104;1.673873309;54.40018404;49.39883329
239;Turkey;2002;4.87559367;0.45381355;44.96412355;47.46053883
240;Turkey;2003;4.101697301;0.545817312;25.29636788;45.60147184
241;Turkey;2004;8.135577651;0.688034305;10.58423624;48.11968281
242;Turkey;2005;7.57216564;2.000507226;10.13840492;45.43714113
243;Turkey;2006;5.770121117;3.653360853;9.597242123;48.15110871
244;Turkey;2007;3.772041114;3.262577218;8.75618091;47.28958531
245;Turkey;2008;-0.361270391;2.597200625;10.44412838;49.90632247
246;Turkey;2009;-5.90556276;1.331716888;6.250976631;45.93247428
247;Turkey;2010;7.00581964;1.178814846;8.566444206;45.89921691
248;Turkey;2011;9.474947563;1.943675306;6.471879671;52.66294106
249;Turkey;2012;3.159261369;1.559300133;8.891569965;52.24530981
250;Turkey;2013;6.748478827;1.356623094;7.493090305;50.35032451
251;Turkey;2014;3.469272103;1.37320087;8.854572714;51.41410421
252;Turkey;2015;4.376289239;2.042161292;7.670853648;49.28887867
253;Saudi Arabia;1995;-2.059767496;-1.307818443;4.868431031;65.04176705
254;Saudi Arabia;1996;0.514367437;-0.71060735;1.222069564;66.65385559
255;Saudi Arabia;1997;-0.834771943;1.831406071;0.057151022;65.18811702
256;Saudi Arabia;1998;0.942967039;2.918379922;-0.356989861;56.0883806
257;Saudi Arabia;1999;-5.716755656;-0.481664591;-1.347894384;57.84608697
258;Saudi Arabia;2000;3.235064046;-0.992569136;-1.125;68.16645136
259;Saudi Arabia;2001;-3.711499142;0.010665944;-1.112515803;63.56062865
260;Saudi Arabia;2002;-5.492944829;-0.323899872;0.230120174;64.59277916
261;Saudi Arabia;2003;8.035863807;-0.271772874;0.586734694;69.83119598
262;Saudi Arabia;2004;4.833097602;-0.129209725;0.329698199;75.08283666
263;Saudi Arabia;2005;2.585076792;3.685917346;0.699359623;81.95407594
264;Saudi Arabia;2006;-0.024660827;4.860066412;2.207346666;89.94460468
265;Saudi Arabia;2007;-0.872286563;5.849973002;4.168713364;94.8633171
266;Saudi Arabia;2008;3.430997525;7.590632326;9.868751965;96.10263087
267;Saudi Arabia;2009;-4.706833456;8.496352347;5.066632331;84.85834156
268;Saudi Arabia;2010;2.112692511;5.534325671;5.343137255;82.54982767
269;Saudi Arabia;2011;6.832496856;2.429579313;5.823591056;85.54352028
270;Saudi Arabia;2012;2.336999074;1.655270346;2.885962454;83.51180373
271;Saudi Arabia;2013;-0.24379834;1.187266783;3.506263617;82.70905724
272;Saudi Arabia;2014;0.849572305;1.059269252;2.670525554;80.640471
273;Saudi Arabia;2015;1.531811756;1.244291787;2.184637068;72.074996
