No;pays;ann;GDPPC;FDI;INF;OPEN
1;Algeria;1995;1.853423793;NA;29.77962649;55.19100521
2;Algeria;1996;2.305087245;0.575184045;18.67907586;53.70514788
3;Algeria;1997;-0.508245296;0.539666948;5.733522754;52.24391151
4;Algeria;1998;3.544786287;1.258826219;4.950161638;45.09445056
5;Algeria;1999;1.758011109;0.599499497;2.645511134;50.92911545
6;Algeria;2000;2.427875701;0.511222384;0.339163189;62.85834408
7;Algeria;2001;1.676475844;2.033265774;4.225988349;58.70616249
8;Algeria;2002;4.279453027;1.8763118;1.418301923;61.13416484
9;Algeria;2003;5.850520833;0.939942883;4.268953958;62.12477208
10;Algeria;2004;2.943232296;1.033520536;3.961800303;65.70142617
11;Algeria;2005;4.452752236;1.120174268;1.382446567;71.2785976
12;Algeria;2006;0.210971674;1.573137144;2.314524087;70.73001408
13;Algeria;2007;1.799196896;1.249646564;3.673827269;71.93812694
14;Algeria;2008;0.713952801;1.543038806;4.862990528;76.68452205
15;Algeria;2009;-0.101599762;2.001975013;5.734333414;71.32432835
16;Algeria;2010;1.763682018;1.42696365;3.913043478;69.86666176
17;Algeria;2011;0.930355173;1.285534622;4.521764663;67.47430147
18;Algeria;2012;1.321109306;0.717733169;8.894585294;65.40860906
19;Algeria;2013;0.696353667;0.806491779;3.253684177;63.60218177
20;Algeria;2014;1.733280904;0.702603639;2.916406413;62.36383145
21;Algeria;2015;1.790253965;-0.244810283;4.784976963;60.35376447
22;Bahrain;1995;1.328326276;7.361126807;2.704034751;152.4643154
23;Bahrain;1996;1.416885567;33.56601753;-0.452227383;164.1154193
24;Bahrain;1997;0.275023953;5.186228818;2.43155134;148.5820781
25;Bahrain;1998;1.584671973;2.902019672;-0.366533865;128.4891015
26;Bahrain;1999;0.557098024;6.852999957;-1.287587972;141.8316988
27;Bahrain;2000;0.852803561;4.011542051;-0.704852953;135.8090158
28;Bahrain;2001;-2.348113492;0.895242857;-1.207571802;127.026112
29;Bahrain;2002;-1.685176964;2.252734517;-0.495540139;130.6075232
30;Bahrain;2003;0.092711768;4.665540204;1.593625498;128.0914868
31;Bahrain;2004;0.388553334;6.580206432;2.352941176;140.7372332
32;Bahrain;2005;-0.354048864;6.566593037;2.586206897;148.313493
33;Bahrain;2006;-1.223851718;15.750616;2.007469655;147.1018554
34;Bahrain;2007;0.192968424;8.08243219;3.256666667;137.7850506
35;Bahrain;2008;-1.256630472;6.977585045;3.526003164;145.882662
36;Bahrain;2009;-3.555267427;1.12105291;2.795512836;117.9637254
37;Bahrain;2010;-0.360154395;0.605800046;1.961884683;120.4723945
38;Bahrain;2011;-0.888156616;2.678050204;-0.36444775;171.8841214
39;Bahrain;2012;1.840616231;2.89835267;2.754553598;185.8889752
40;Bahrain;2013;4.120906286;3.00568315;3.305484926;189.7832642
41;Bahrain;2014;2.80966062;2.868458743;2.651195499;175.5646506
42;Bahrain;2015;0.204282262;-4.699521162;1.835993697;156.2377172
43;Cyprus;1995;6.5193588;2.474227048;2.61581788;134.387383
44;Cyprus;1996;-0.2692888;2.36119537;2.978924865;140.851711
45;Cyprus;1997;1.12199773;5.696291403;3.605344444;139.7649212
46;Cyprus;1998;3.953117531;3.336049807;2.227707327;134.9106801
47;Cyprus;1999;3.662073532;7.659877613;1.63;131.2116346
48;Cyprus;2000;4.605801516;8.394850452;4.141657647;137.4964135
49;Cyprus;2001;2.489999696;8.940244901;1.977056383;131.8489343
50;Cyprus;2002;2.220905652;9.497539644;2.801155052;123.6406522
51;Cyprus;2003;1.237982201;6.230046913;4.139065387;114.0046926
52;Cyprus;2004;3.180830497;6.421867332;2.286217068;113.9045337
53;Cyprus;2005;2.241217562;6.212716768;2.558451986;111.9175222
54;Cyprus;2006;2.781022803;9.176726278;2.495874931;109.8064413
55;Cyprus;2007;2.61259233;9.533621619;2.372492743;111.2750838
56;Cyprus;2008;1.288334269;8.397982397;4.669171081;112.9469641
57;Cyprus;2009;-4.374273984;10.91093545;0.374079976;102.8018315
58;Cyprus;2010;-1.29760034;53.19095304;2.381258363;107.6908728
59;Cyprus;2011;-2.206049098;-43.46255422;3.289449396;108.7886636
60;Cyprus;2012;-4.622161162;198.3054478;2.389768958;108.4959162
61;Cyprus;2013;-5.733870719;-25.04749566;-0.400053061;115.6152377
62;Cyprus;2014;-0.441661141;-3.2364322;-1.354988854;122.3317053
63;Cyprus;2015;2.259843017;40.95682557;-2.096997691;122.1010138
64;Egypt, Arab Rep,;1995;2.641009755;0.994028431;15.7422305;50.24509804
65;Egypt, Arab Rep,;1996;3.017657081;0.940414996;7.187103697;46.94856146
66;Egypt, Arab Rep,;1997;3.549320972;1.135375893;4.625605788;43.73824746
67;Egypt, Arab Rep,;1998;2.141894785;1.268437022;3.872575464;41.927627
68;Egypt, Arab Rep,;1999;4.174958141;1.174392815;3.079499126;38.36150845
69;Egypt, Arab Rep,;2000;3.439696362;1.236997207;2.683805353;39.0179359
70;Egypt, Arab Rep,;2001;1.615120371;0.522267243;2.269757205;39.81042654
71;Egypt, Arab Rep,;2002;0.448033695;0.736363077;2.73723855;40.98706783
72;Egypt, Arab Rep,;2003;1.25092589;0.286284498;4.507776363;46.17964072
73;Egypt, Arab Rep,;2004;2.156831224;1.589570746;11.27061933;57.81990521
74;Egypt, Arab Rep,;2005;2.578956712;5.993818956;4.869396969;62.95264624
75;Egypt, Arab Rep,;2006;4.966033533;9.343527169;7.644526445;61.51853651
76;Egypt, Arab Rep,;2007;5.234633028;8.873537919;9.318969058;65.07787325
77;Egypt, Arab Rep,;2008;5.282444412;5.831412619;18.31683168;71.68062535
78;Egypt, Arab Rep,;2009;2.755735398;3.551442303;11.76349544;56.55344464
79;Egypt, Arab Rep,;2010;3.091669379;2.91728671;11.26518827;47.93635007
80;Egypt, Arab Rep,;2011;-0.341314769;-0.204532287;10.0539169;45.25563416
81;Egypt, Arab Rep,;2012;-0.01428269;1.001421905;7.11815562;40.71176927
82;Egypt, Arab Rep,;2013;-0.083564439;1.452668056;9.42157654;40.37303806
83;Egypt, Arab Rep,;2014;0.668288269;1.565543606;10.14580055;36.92018779
